"543936","544050","Учебный корпус № 1","Учебный коpпус № 1","3 уровень","5"
"543942","544050","Учебный корпус № 2","Учебный коpпус № 2","3 уровень","5"
"543948","544050","Учебный корпус № 4","Учебный корпус № 4","3 уровень","5"
"543966","544050","Учебный корпус № 3","Учебный корпус № 3","3 уровень","5"
"543972","544050","Учебный корпус № 7","Учебный коpпус № 7","3 уровень","5"
"543978","31433114","База отдыха","База отдыха ""Политехник""","1 уровень","3"
"543984","105449681","Общежитие № 5","Общежитие № 5","3 уровень","6"
"543990","31391769","Первый отдел","Первый отдел","1 уровень","2"
"543996","161624869","ОТСО","Отдел технических средств обучения","2 уровень","4"
"544008","544050","Учебный корпус № 8","Учебный корпус № 8","3 уровень","5"
"544014","14511001","Общежитие № 2","Общежитие № 2","2 уровень","4"
"544026","14511001","Общежитие № 3","Общежитие № 3","2 уровень","4"
"544032","79750193","НТБ","Библиотека","1 уровень","3"
"544038","359919263","Транспортный отдел","Транспортный отдел","2 уровень","4"
"544050","359919263","ХО","Хозяйственный отдел","2 уровень","4"
"544068","544530","ОАХД","Отдел архивного хранения документов","2 уровень","3"
"544092","545082","КПТО","Кафедра ""Компьютерное проектирование технологического оборудования""","3 уровень","5"
"544146","352690757","НиМЭ","Кафедра ""Нано- и микроэлектроника""","3 уровень","5"
"544152","31429808","ИВС","Кафедра ""Информационно-вычислительные системы""","3 уровень","5"
"544158","31431972","ФВО","Факультет военного обучения","2 уровень","4"
"544164","79750193","ИВЦ","Информационно-вычислительный центр","1 уровень","3"
"544170","31429808","ВТ","Кафедра ""Вычислительная техника""","3 уровень","5"
"544182","123594889","АЯ","Кафедра ""Английский язык""","3 уровень","5"
"544188","545082","ТМС","Кафедра ""Технология машиностроения""","3 уровень","5"
"544200","544518","ФСК","Кафедра ""Философия и социальные коммуникации""","2 уровень","4"
"544206","31429808","ИнОУП","Кафедра ""Информационное обеспечение управления и производства""","3 уровень","5"
"544212","352690757","КиПРА","Кафедра ""Конструирование и производство радиоаппаратуры""","3 уровень","5"
"544236","545082","ТМ","Кафедра ""Транспортные машины""","3 уровень","5"
"544242","31429808","МОиПЭВМ","Кафедра ""Математическое обеспечение и применение ЭВМ""","3 уровень","5"
"544254","544860","ГУиСР","Кафедра ""Государственное управление и социология региона""","2 уровень","4"
"544260","545082","ТБ","Кафедра ""Техносферная безопасность""","3 уровень","5"
"544266","352690757","АИиУС","Кафедра ""Автономные информационные и управляющие системы""","3 уровень","5"
"544272","352690757","РТиРЭС","Кафедра ""Радиотехника и радиоэлектронные системы""","3 уровень","5"
"544284","545082","СЛПиМ","Кафедра ""Сварочное, литейное производство и материаловедение""","3 уровень","5"
"544290","352690757","АиТ","Кафедра ""Автоматика и телемеханика""","3 уровень","5"
"544302","352635381","ФВиС","Кафедра ""Физическое воспитание и спорт""","2 уровень","4"
"544308","352690757","ПС","Кафедра ""Приборостроение""","3 уровень","5"
"544314","352690757","Физика","Кафедра ""Физика""","3 уровень","5"
"544332","544860","ЭиФ","Кафедра ""Экономика и финансы""","2 уровень","4"
"544338","352690757","ИБСТ","Кафедра ""Информационная безопасность систем и технологий""","3 уровень","5"
"544356","544860","Менеджмент иЭБ","Кафедра ""Менеджмент и экономическая безопасность""","2 уровень","4"
"544362","31429808","САПР","Кафедра ""Системы автоматизированного проектирования""","3 уровень","5"
"544368","31429808","ВиПМ","Кафедра ""Высшая и прикладная математика""","3 уровень","5"
"544386","544050","Учебный корпус № 5","Учебный корпус № 5","3 уровень","5"
"544392","14511001","Общежитие № 4","Общежитие № 4","2 уровень","4"
"544410","14511001","Общежитие № 1","Общежитие № 1","2 уровень","4"
"544416","161624869","ОЦНИТ","Областной центр новых информационных технологий","2 уровень","4"
"544422","78859500","ООПС","Отдел обслуживания пожарной сигнализации","2 уровень","3"
"544446","359919263","ТО","Технический отдел","2 уровень","4"
"544458","352729008","Химия","Кафедра ""Химия""","3 уровень","5"
"544470","544518","ЧиПП","Кафедра ""Частное и публичное право""","2 уровень","4"
